Szó,Szófajok
kenderkóc,főnév
kendermag,főnév
kendermagos,melléknév
kenderszár,főnév
kendertörés,főnév
kendervászon,főnév
kenderzsák,főnév
kendez,ige
kendős,melléknév
kendőz,ige
kendőzés,főnév
kendőzetlen,melléknév
kendőzött,melléknév
keneget,ige
kenekedik,ige
kenés,főnév
kénes,melléknév
kéneső,főnév
kénessav,főnév
kenet,ige|főnév
kenetes,melléknév
kenetlen,melléknév
kenetteljes,melléknév
kenéz,főnév
kénez,ige
kénezés,főnév
ken-fen,ige
kéngőz,főnév
kengyel,főnév
kengyelfutó,főnév
kengyelszár,főnév
kengyelszíj,főnév
kengyelvas,főnév
kénkő,főnév
kénkőszag,főnév
kénköves,melléknév
kénlap,főnév
kénmáj,főnév
kenő,melléknév
kenőanyag,főnév
kenőasszony,főnév
kenőcs,főnév
kenőcsös,melléknév
kenőkefe,főnév
kenőmájas,főnév
kenőolaj,főnév
kenőszappan,főnév
kénpor,főnév
kénrúd,főnév
kénsárga,melléknév
kénsav,főnév
kentaur,főnév
kenter,főnév
kenu,főnév
kénvirág,főnév
kény,főnév
kénye-kedve,főnév
kényelem,főnév
kényelmes,melléknév
kényelmeskedik,ige
kényelmetlen,melléknév
kényelmetlenség,főnév
kenyér,főnév
kenyéradag,főnév
kenyéradó,főnév|melléknév
kenyérbél,főnév
kenyérellátás,főnév
kenyeres,főnév|melléknév
kenyerez,ige
kenyérfa,főnév
kenyérfejadag,főnév
kenyérgabona,főnév
kenyérgalacsin,főnév
kenyérgond,főnév
kenyérgyár,főnév
kenyérhéj,főnév
kenyéririgység,főnév
kenyérjegy,főnév
kenyérkérdés,főnév
kenyérkereset,főnév
kenyérkereső,főnév|melléknév
kenyérkés,főnév
kenyérkosár,főnév
kenyérleső,főnév|melléknév
kenyérliszt,főnév
kenyérmag,főnév
kenyérmorzsa,főnév
kenyérnekvaló,főnév
kenyérpusztító,főnév
kenyérrevaló,főnév
kenyérsütés,főnév
kenyérszegés,főnév
kenyértelen,melléknév
kenyértészta,főnév
kenyértörés,főnév
kenyérvágó,melléknév
kenyérvirág,főnév
kenyérzsák,főnév
kényes,melléknév
kényeskedik,ige
kényeztet,ige
kényszer,főnév
kényszeredett,melléknév
kényszeredik,ige
kényszeregyezség,főnév
kényszereladás,főnév
kényszerhelyzet,főnév
kényszerít,ige
kényszerítő,melléknév
kényszerképzet,főnév
kényszerkölcsön,főnév
kényszerleszállás,főnév
kényszermunka,főnév
kényszernyugdíjaz,ige
kényszerű,melléknév
kényszerül,ige
kényszerűség,főnév
kényszervágás,főnév
kényszerzubbony,főnév
kénytelen,melléknév|határozószó
kénytelen-kelletlen,melléknév|határozószó
kénytelenség,főnév
kénytet,ige
kénytetik,ige
kényúr,főnév
kényuralom,főnév
kép,főnév
képanyag,főnév
képátvitel,főnév
kepe,főnév
képedez,ige
kepél,ige
képernyő,főnév
kepés,főnév|melléknév
képes,melléknév
képesít,ige
képesítés,főnév
képesített,melléknév
képesítő,főnév|melléknév
képesítőzik,ige
képeskönyv,főnév
képeslap,főnév
képesség,főnév
képességvizsgálat,főnév
képest,névutó
képesül,ige
kepesztet,ige
kepéz,ige
képez,ige
képezde,főnév
képezdész,főnév
képfaragó,főnév|melléknév
képgyűjtő,főnév|melléknév
kepickél,ige
képírás,főnév
képíró,főnév
képkeret,főnév
képkiállítás,főnév
képlékeny,melléknév
képlet,főnév
képletes,melléknév
képmás,főnév
képmutatás,főnév
képmutató,főnév|melléknév
képrádió,főnév
képrejtvény,főnév
képrombolás,főnév
képromboló,főnév|melléknév
képtár,főnév
képtávirat,főnév
képtáviratozás,főnév
képtelen,melléknév|határozószó
képtelenség,főnév
képtudósítás,főnév
képvisel,ige
képviselet,főnév
képviseleti,melléknév
képviselő,főnév|melléknév
képviselőfánk,főnév
képviselőház,főnév
képviselőjelölt,főnév
képviselőség,főnév
képviselő-testület,főnév
képviselő-választás,főnév
képviseltet,ige
képzavar,főnév
képzel,ige
képzeleg,ige
képzelem,főnév
képzelet,főnév
képzeletbeli,melléknév
képzeletvilág,főnév
képzelgés,főnév
képzelhető,melléknév
képzelődés,főnév
képzelődik,ige
képzelőerő,főnév
képzelőtehetség,főnév
képzelt,melléknév
képzés,főnév
képzet,főnév
képzetes,melléknév
képzetlen,melléknév
képzett,melléknév
képzettársítás,főnév
képzettársulás,főnév
képzettartalom,főnév
képzettség,főnév
képző,főnév|melléknév
képződik,ige
képződmény,főnév
képzőművész,főnév
képzőművészet,főnév
képzős,főnév|melléknév
kér,ige
kerámia,főnév
keramit,főnév
keramitkő,főnév
kérd,ige
kérdés,főnév
kérdéses,melléknév
kérdésfeltevés,főnév
kérdez,ige
kérdezés,főnév
kérdezetlen,melléknév|határozószó
kérdezget,ige
kérdezősködik,ige
kérdő,főnév|melléknév
kérdőív,főnév
kérdőjel,főnév
kérdőlap,főnév
kérdőpont,főnév
kérdőszó,főnév
kérdőszócska,főnév
kerecsen,főnév
kéredzik,ige
kéredzkedik,ige
kéreg,főnév
kéreget,ige
kéregető,főnév|melléknév
kéregpapír,főnév
kerek,főnév|melléknév
kerék,főnév
kerékabroncs,főnév
kerékagy,főnév
kerékbetörés,főnév
kerékcsapás,főnév
kerekded,melléknév
kerekecske,főnév|melléknév
kerekedik,ige
kerekes,főnév|melléknév
kerekezik,ige
kerékfék,főnév
kerékfog,főnév
kerékgyártó,főnév|melléknév
kerekít,ige
kerékkötő,főnév|melléknév
kereklik,ige
keréknyom,főnév
kerékpár,főnév
kerékpárbelső,főnév
kerékpárgumi,főnév
kerékpár-megőrző,főnév
kerékpáros,főnév|melléknév
kerékpározik,ige
kerékpárút,főnév
kerékpárüzem,főnév
kerekrépa,főnév
kerekség,főnév
keréksín,főnév
keréktalp,főnév
keréktáv,főnév
kerékvágás,főnév
kerékvető,főnév
kérelem,főnév
kérelmez,ige
kérelmező,főnév|melléknév
kereng,ige
kerengő,főnév
kerep,főnév
kerepel,ige
kereplő,főnév
keres,ige
kérés,főnév
keresés,főnév
kereset,főnév
keresetforrás,főnév
kereseti,melléknév
keresetképes,melléknév
keresetképtelen,főnév|melléknév
keresetlen,melléknév
keresetlevél,főnév
keresett,melléknév
keresgél,ige
kereskedelem,főnév
kereskedelemügyi,melléknév
kereskedelmi,főnév|melléknév
kereskedelmista,főnév|melléknév
kereskedés,főnév
kereskedik,ige
kereskedő,főnév|melléknév
kereskedősegéd,főnév
kereslet,főnév
keresmény,főnév
keresnivaló,főnév
kereső,főnév|melléknév
keresőképes,melléknév
keresőképtelen,főnév|melléknév
kérész,főnév
kereszt,főnév
keresztanya,főnév
keresztapa,főnév
keresztbe,határozószó
keresztben,határozószó
keresztboltozat,főnév
keresztcsík,főnév
keresztcsíkos,melléknév
keresztcsont,főnév
keresztcsőrű,főnév
keresztel,ige
keresztelés,főnév
keresztelkedik,ige
keresztelő,főnév|melléknév
keresztény,főnév|melléknév
keresztényi,melléknév
kereszténység,főnév
keresztényszocialista,főnév|melléknév
keresztényszocializmus,főnév
keresztényüldözés,főnév
keresztes,főnév|melléknév
keresztez,ige
keresztezés,főnév
kereszteződés,főnév
kereszteződik,ige
keresztfa,főnév
keresztfiú,főnév
keresztfolyosó,főnév
keresztgerenda,főnév
keresztgyermek,főnév
kereszthajó,főnév
kereszthalál,főnév
kereszthúros,melléknév
keresztirányú,melléknév
keresztjáró,főnév|melléknév
keresztkérdés,főnév
keresztkoma,főnév
keresztkötés,főnév
keresztkút,főnév
keresztlány,főnév
keresztlevél,főnév
keresztlevétel,főnév
keresztmetszet,főnév
keresztnév,főnév
keresztöltés,főnév
keresztrejtvény,főnév
keresztrím,főnév
keresztség,főnév
keresztszál,főnév
keresztszelvény,főnév
keresztszülő,főnév
kereszttűz,főnév
keresztút,főnév
keresztutca,főnév
keresztül,határozószó|névutó|igekötő
keresztülbújik,ige
keresztüldob,ige
keresztüldöf,ige
keresztülenged,ige
keresztülér,ige
keresztülerőszakol,ige
keresztülesik,ige
keresztülfekszik,ige
keresztülfolyik,ige
keresztülfúr,ige
keresztülfut,ige
keresztülgázol,ige
keresztülhajszol,ige
keresztülhalad,ige
keresztülhatol,ige
keresztülhúz,ige
keresztüljár,ige
keresztüljut,ige
keresztül-kasul,határozószó
keresztüllát,ige
keresztüllép,ige
keresztüllő,ige
keresztülmegy,ige
keresztülnéz,ige
keresztülrág,ige
keresztülszúr,ige
keresztültör,ige
keresztülvág,ige
keresztülvezet,ige
keresztülvihetetlen,melléknév
keresztülvisz,ige
keresztülvitel,főnév
keresztvas,főnév
keresztvetés,főnév
keresztvíz,főnév
keresztvonás,főnév
keresztyén,főnév|melléknév
keret,főnév
kéret,ige
keretantenna,főnév
keretes,főnév|melléknév
keretez,ige
keretezés,főnév
keretező,főnév|melléknév
keretfűrész,főnév
keretlegény,főnév
kéretlen,melléknév|határozószó
keretszerződés,főnév
kerettörvény,főnév
kerevet,főnév
kerge,melléknév
kergekór,főnév
kérges,melléknév
kérgesedik,ige
kergeség,főnév
kerget,ige
kergetődzik,ige
kergül,ige
kering,ige
keringés,főnév
keringő,főnév|melléknév
keringőzik,ige
kerít,ige
kerítés,főnév
kerítéstelen,melléknév
kerítetlen,melléknév
kerítő,főnév|melléknév
kerítőháló,főnév
kerítőné,főnév
kerítőnő,főnév
kérkedik,ige
kérlel,ige
kérlelhetetlen,melléknév
kérlelő,főnév|melléknév
kérő,főnév|melléknév
kérődzés,főnév
kérődzik,ige
kérődző,főnév|melléknév
kérőlap,főnév
kert,főnév
kertajtó,főnév
kérte,főnév
kertel,ige
kertelés,főnév
kertépítés,főnév
kertépítő,főnév
kertes,melléknév
kertész,főnév
kertészet,főnév
kertészeti,melléknév
kertészkedés,főnév
kertészkedik,ige
kertészolló,főnév
kertészsegéd,főnév
kertgazdálkodás,főnév
kertgazdaság,főnév
kerthelyiség,főnév
kerti,melléknév
kertmozi,főnév
kertmunkás,főnév
kertművelés,főnév
kertváros,főnév
kerub,főnév
kerül,ige
kerülék,főnév
kerület,főnév
kerületi,melléknév
kerül-fordul,ige
kerülget,ige
kerülközik,ige
kerülő,főnév|melléknév
kérvény,főnév
kérvényez,ige
kérvényező,főnév|melléknév
kés,főnév
késdobáló,főnév|melléknév
kese,főnév|melléknév
késedelem,főnév
késedelmes,melléknév
késedelmeskedik,ige
késedelmi,melléknév
kései,melléknév
késel,ige
késelés,főnév
kesely,főnév|melléknév
keselyű,főnév
keserédes,főnév|melléknév
kesereg,ige
kesergés,főnév
kesergő,főnév|melléknév
keserít,ige
kesernyés,melléknév
keserű,főnév|melléknév
keserül,ige
keserűség,főnév
keserűsó,főnév
keserűvíz,főnév
keserv,főnév
keserves,főnév|melléknév
keserveskedik,ige
keservetes,melléknév
késes,főnév|melléknév
késés,főnév
keshedt,melléknév
késhegy,főnév
késhegynyi,főnév|melléknév
késik,ige
keskeny,melléknév
keskenyedik,ige
keskenyfilm,főnév
keskenyít,ige
keskenyül,ige
késlekedik,ige
késleltet,ige
késműves,főnév
késnyél,főnév
késő,főnév|melléknév|határozószó
később,melléknév|határozószó
későbben,határozószó
későbbi,főnév|melléknév
késői,melléknév
későll,ige
késpenge,főnév
késszúrás,főnév
kész,főnév|melléknév
készakarva,határozószó
készáru,főnév
keszeg,főnév|melléknév
készenlét,főnév
készenléti,melléknév
készétel,főnév
készfizetés,főnév
készfizető,főnév|melléknév
készgyártmány,főnév
készít,ige
készítget,ige
készítmény,főnév
készítő,főnév|melléknév
készíttet,ige
keszkenő,főnév
készkiadás,főnév
készlet,főnév
készletbejelentés,főnév
készletgazdálkodás,főnév
készlettáska,főnév
keszon,főnév
keszonmunka,főnév
keszonos,főnév|melléknév
keszőce,főnév
készpénz,főnév
készpénzfizetés,főnév
készpénzforgalom,főnév
készpénzjövedelem,főnév
készpénzkészlet,főnév
készruha,főnév
készség,főnév
készséges,melléknév
készségeskedik,ige
készt,ige
késztermék,főnév
késztet,ige
kesztyű,főnév
kesztyűbőr,főnév
kesztyűs,főnév|melléknév
kesztyűtágító,főnév
kesztyűtlen,melléknév
készül,ige
készülék,főnév
készülés,főnév
készület,főnév
készületlen,melléknév|határozószó
készülget,ige
készülő,főnév|melléknév
készülődés,főnév
készülődik,ige
készült,melléknév
készültség,főnév
két,főnév
kétágú,melléknév
kétakkora,névmás
kétaknás,melléknév
kétannyi,névmás
kétarcú,melléknév
kétbalkezes,melléknév
kétcsöves,melléknév
kétcsövű,melléknév
kétel,ige
kételkedés,főnév
kételkedik,ige
kétéltű,főnév|melléknév
kétélű,melléknév
kétely,főnév
kétértelmű,melléknév
kétes,melléknév
ketet-kutat,ige
kétéves,főnév|melléknév
kétevezős,főnév|melléknév
kétévi,melléknév
kétfedelű,melléknév
kétfejű,melléknév
kétfelé,határozószó
kétféle,főnév|melléknév
kétféleképpen,határozószó
kétfelől,határozószó
kétfenekű,melléknév
kétfilléres,főnév|melléknév
kétfogatú,főnév|melléknév
kétfordulós,melléknév
kétforintos,főnév|melléknév
kétfülű,melléknév
kétharmad,főnév
kéthasábos,melléknév
kéthavi,melléknév
kéthetes,melléknév
kétheti,melléknév
kétjegyű,melléknév
kétkamarás,melléknév
kétkapus,melléknév
kétkarú,melléknév
kétkedés,főnév
kétkedik,ige
kétkedő,főnév|melléknév
kétkeresztes,melléknév
kétkezes,főnév|melléknév
kétkézi,melléknév
kétkézkalapács,főnév
kétkulacsos,főnév|melléknév
kétkulacsoskodik,ige
kétlábú,melléknév
kétlakásos,melléknév
kétlaki,főnév|melléknév
kétlámpás,melléknév
kétlovas,melléknév
kétnejűség,főnév
kétnemű,melléknév
kétnyári,melléknév
kétnyelvű,melléknév
kétnyomásos,melléknév
kétoldali,melléknév
kétoldalt,határozószó
kétoldalú,melléknév
kétórás,melléknév
kétpárevezős,főnév|melléknév
kétpúpú,melléknév
ketrec,főnév
kétrészes,melléknév
kétrét,határozószó
kétség,főnév
kétségbeejt,ige
kétségbeejtő,melléknév
kétségbeesés,főnév
kétségbeesett,főnév|melléknév
kétségbeesik,ige
kétségbevonhatatlan,melléknév
kétséges,melléknév
kétségeskedik,ige
kétségkívül,határozószó
kétségtelen,melléknév
kétsoros,melléknév
kétszakos,főnév|melléknév
kétszárnyú,főnév|melléknév
kétszemélyes,melléknév
kétszeres,főnév|melléknév
kétszerez,ige
kétszeri,melléknév
kétszerkettő,főnév
kétszersült,főnév
kétszikű,főnév|melléknév
kétszínű,melléknév
kétszínűség,főnév
kétszínűsködik,ige
kétszobás,melléknév
kétszólamú,melléknév
kéttáblás,melléknév
kéttagú,melléknév
ketté,igekötő
kettéágazik,ige
kettecskén,határozószó
ketted,főnév
kettedrész,főnév
kettedrét,melléknév
kettéfűrészel,ige
kettéharap,ige
kettéhasad,ige
kettéhasít,ige
kettémetsz,ige
kettéoszlik,ige
kettéoszt,ige
kettéreped,ige
kettes,főnév|melléknév
kettészakad,ige
kettészakít,ige
kettészel,ige
kettétör,ige
kettétörik,ige
kettévág,ige
kettéválaszt,ige
kettéválik,ige
kettős,főnév|melléknév
kettőshangzó,főnév
kettőspont,főnév
kettősség,főnév
kettőz,ige
kettőzés,főnév
kettőzik,ige
kettőzött,melléknév
kettőztet,ige
kétüléses,melléknév
kétütemű,melléknév
kétvágányú,melléknév
ketyeg,ige
ketyegés,főnév
kettyen,ige
kettyent,ige
kéve,főnév
kévekötél,főnév
kévekötő,főnév|melléknév
kévél,ige
kevély,főnév|melléknév
kevélykedik,ige
kevélység,főnév
kever,ige
keveredik,ige
kevereg,ige
keverék,főnév
keveréknyelv,főnév
keverés,főnév
keveretlen,melléknév|határozószó
keverget,ige
keverő,főnév|melléknév
keverőfa,főnév
keverőgép,főnév
kevert,főnév|melléknév
kevésbé,határozószó
kevesbedik,ige
kevesbít,ige
kevesbül,ige
kevesedmagával,névmás
kevesell,ige
kevéssé,határozószó
kévéz,ige
kéz,főnév
kézadás,főnév
kézállás,főnév
kézápolás,főnév
kézbesít,ige
kézbesítés,főnév
kézbesíthetetlen,melléknév
kézbesítő,főnév|melléknév
kézcsók,főnév
kezd,ige
kezdemény,főnév
kezdeményez,ige
kezdeményezés,főnév
kezdés,főnév
kezdet,főnév
kezdeti,melléknév
kezdetleges,melléknév
kezdetlen,melléknév
kezdő,főnév|melléknév
kezdőbetű,főnév
kezdődik,ige
kezdőpont,főnév
kezel,ige
kezelés,főnév
kezelési,melléknév
kezelésmód,főnév
kezelhető,melléknév
kezelő,főnév|melléknév
kézelő,főnév
kézelőgomb,főnév
kezelőorvos,főnév
kezelt,főnév|melléknév
kezeltet,ige
kézemelés,főnév
kézenállás,főnév
kézenfekvő,melléknév
kézen-közön,határozószó
kezes,melléknév|főnév
kezeskedik,ige
kezeslábas,főnév|melléknév
kezesség,főnév
kezességvállalás,főnév
kezestárs,főnév
kezez,ige
kezezés,főnév
kézfej,főnév
kézfelemelés,főnév
kézfinomító,főnév|melléknév
kézfogás,főnév
kézfogó,főnév
kézhát,főnév
kézhezvétel,főnév
kézi,melléknév
kézifecskendő,főnév
kézifegyver,főnév
kézifék,főnév
kézifűrész,főnév
kézigránát,főnév
kézihajtány,főnév
kéziipar,főnév
kézíj,főnév
kézikapa,főnév
kézikocsi,főnév
kézikosár,főnév
kézikönyv,főnév
kézikönyvtár,főnév
kézilabda,főnév
kézilabdázik,ige
kézilámpa,főnév
kézilámpás,főnév
kézilány,főnév
kézimunka,főnév
kézimunkakosár,főnév
kézimunkázik,ige
kézipéldány,főnév
kézipénztár,főnév
kézipoggyász,főnév
kézírás,főnév
kézírásos,melléknév
kézirat,főnév
kéziratos,melléknév
kézirattár,főnév
kézisajtó,főnév
kéziszerszám,főnév
kéziszótár,főnév
kézitáska,főnév
kézitusa,főnév
kézizálog,főnév
kézjegy,főnév
kézközépcsont,főnév
kézlegyintés,főnév
kézmosás,főnév
kézmozdulat,főnév
kézműáru,főnév
kézműipar,főnév
kézműves,főnév
kézművesség,főnév
kéznyújtás,főnév
kézrátétel,főnév
kézszorítás,főnév
kéztartás,főnév
kéztő,főnév
kéztörlő,főnév
kézügyesség,főnév
kézvonás,főnév
kézzelfogható,melléknév
kézzel-lábbal,határozószó
khaki,főnév|melléknév
khakiszín,főnév|melléknév
khakiszínű,melléknév
khán,főnév
ki,névmás|határozószó|igekötő
kiabál,ige
kiábrándít,ige
kiábrándul,ige
kiábrándult,melléknév
kiad,ige
kiadagol,ige
kiadás,főnév
kiadat,ige
kiadatás,főnév
kiadatlan,melléknév|határozószó
kiadmány,főnév
kiadmányoz,ige
kiadó,főnév|melléknév
kiadóhivatal,főnév
kiadós,melléknév
kiadóvállalat,főnév
kiadvány,főnév
kiadványoz,ige
kiágazás,főnév
kiágazik,ige
kiagyal,ige
kiajánlás,főnév
kiakaszt,ige
kiaknáz,ige
kiakolbólít,ige
kialakít,ige
kialakul,ige
kialakulás,főnév
kialkudott,melléknév
kialkuszik,ige
kiáll,ige
kiállás,főnév
kiállhatatlan,melléknév
kiállhatatlankodik,ige
kiállít,ige
kiállítás,főnév
kiállító,főnév|melléknév
kiálló,melléknév
kialszik,ige
kiált,ige
kiáltás,főnév
kiáltó,melléknév
kiáltoz,ige
kiáltozás,főnév
kiáltvány,főnév
kialudt,melléknév
kialvás,főnév
kialvatlan,melléknév
kialvó,főnév|melléknév
kiapad,ige
kiapadhatatlan,melléknév
kiapaszt,ige
kiárad,ige
kiáramlik,ige
kiáraszt,ige
kiárul,ige
kiárusít,ige
kiárusítás,főnév
kiás,ige
kiaszik,ige
kiátkoz,ige
kiázik,ige
kiáztat,ige
kibabrál,ige
kiballag,ige
kibámul,ige
kibánik,ige
kibányász,ige
kibaszik,ige
ki-be,határozószó
kibékít,ige
kibékíthetetlen,melléknév
kibékül,ige
kibélel,ige
kibelez,ige
kibérel,ige
kibernetika,főnév
kibeszél,ige
kibetűz,ige
kibic,főnév
kibicel,ige
kibicsaklik,ige
kibillen,ige
kibillent,ige
kibimbózik,ige
kibír,ige
kibírhatatlan,melléknév
kibli,főnév
kibocsát,ige
kibocsátás,főnév
kibocsátó,főnév|melléknév
kibogoz,ige
kibogozódik,ige
kibolház,ige
kibolondít,ige
kibombáz,ige
kibomlik,ige
kibont,ige
kibontakozás,főnév
kibontakozik,ige
kibonyolódik,ige
kiborít,ige
kiborogat,ige
kiborotvál,ige
kiborul,ige
kibotorkál,ige
kibotoz,ige
kiböffent,ige
kiböjtöl,ige
kibök,ige
kibökkent,ige
kiböngész,ige
kibővít,ige
kibővül,ige
kibuggyan,ige
kibujdosik,ige
kibújik,ige
kibújó,főnév|melléknév
kibukik,ige
kibukkan,ige
kibuktat,ige
kibúvó,főnév|melléknév
kicéduláz,ige
kicenzúráz,ige
kicicomáz,ige
kicifráz,ige
kicikornyáz,ige
kicipel,ige
kicirkalmaz,ige
kicövekel,ige
kicsal,ige
kicsap,ige
kicsapódik,ige
kicsapong,ige
kicsapongás,főnév
kicsapongó,melléknév
kicsattan,ige
kicsavar,ige
kicselez,ige
kicsempész,ige
kicsempéz,ige
kicsen,ige
kicsendül,ige
kicsenget,ige
kicsengetés,főnév
kicsepeg,ige
kicsépel,ige
kicseppen,ige
kicserél,ige
kicserélődik,ige
kicserepesedik,ige
kicserez,ige
kicserzés,főnév
kicsi,főnév|melléknév
kicsihol,ige
kicsikar,ige
kicsike,főnév|melléknév
kicsiklandoz,ige
kicsillan,ige
kicsinál,ige
kicsinosít,ige
kicsiny,főnév|melléknév
kicsinyég,határozószó
kicsinyel,ige
kicsinyell,ige
kicsinyenként,melléknév
kicsinyes,melléknév
kicsinyeskedik,ige
kicsinyít,ige
kicsinyített,melléknév
kicsinyítő,melléknév
kicsinyke,melléknév
kicsinylő,melléknév
kicsinység,főnév
kicsíp,ige
kicsipkéz,ige
kicsírázik,ige
kicsiség,főnév
kicsiszol,ige
kicsiszolt,melléknév
kicsit,határozószó
kicsoda,névmás
kicsomagol,ige
kicsomóz,ige
kicsontoz,ige
kicsorbít,ige
kicsorbul,ige
kicsordul,ige
kicsorog,ige
kicsődít,ige
kicsődül,ige
kicsúcsosodik,ige
kicsúfol,ige
kicsuk,ige
kicsurran,ige
kicsúszik,ige
kidagad,ige
kiderít,ige
kiderül,ige
kideszkáz,ige
kidicsér,ige
kidíszít,ige
kidob,ige
kidobol,ige
kidolgoz,ige
kidolgozás,főnév
kidolgozatlan,melléknév
kidolgozott,melléknév
kidomborít,ige
kidomborodik,ige
kidöglik,ige
kidől,ige
kidőlt-bedőlt,melléknév
kidönt,ige
kidörgöl,ige
kidörzsöl,ige
kidudorodik,ige
kidug,ige
kidugaszol,ige
kidurrant,ige
kiduzzad,ige
kidühöng,ige
kidülled,ige
kidülleszt,ige
kiebrudal,ige
kiég,ige
kiegészít,ige
kiegészítés,főnév
kiegészítő,főnév|melléknév
kiegészül,ige
kiéget,ige
kiégett,melléknév
kiegyenesedik,ige
kiegyenesít,ige
kiegyenget,ige
kiegyenlít,ige
kiegyenlítődik,ige
kiegyensúlyoz,ige
kiegyensúlyozott,melléknév
kiegyezés,főnév
kiegyezik,ige
kiéhezett,melléknév
kiéhezik,ige
kiéheztet,ige
kiejt,ige
kiejtés,főnév
kiejtésjelölés,főnév
kiékel,ige
kiél,ige
kielégít,ige
kielégítő,melléknév
kielégül,ige
kielemez,ige
kiélesedik,ige
kiélesít,ige
kiélez,ige
kiéleződik,ige
kiélt,melléknév
kiélvez,ige
kiemel,ige
kiemelés,főnév
kiemelkedés,főnév
kiemelkedik,ige
kiemelkedő,melléknév
kiénekel,ige
kienged,ige
kiengesztel,ige
kiengesztelődik,ige
kiépít,ige
kiépül,ige
kiér,ige
kiérdemel,ige
kiérdemesült,melléknév
kiereszt,ige
kiérez,ige
kiérezhető,melléknév
kierjed,ige
kiérlel,ige
kierőszakol,ige
kiért,ige
kiértékel,ige
kiértesít,ige
kiérzik,ige
kies,melléknév
kiesés,főnév
kiesik,ige
kieső,főnév|melléknév
kieszel,ige
kieszik,ige
kieszközöl,ige
kiesztergályoz,ige
kietlen,főnév|melléknév|határozószó
kievez,ige
kievickél,ige
kifacsar,ige
kifaggat,ige
kifagy,ige
kifakad,ige
kifakaszt,ige
kifakít,ige
kifakul,ige
kifárad,ige
kifarag,ige
kifáraszt,ige
kifarol,ige
kifaszol,ige
kifeccsen,ige
kifecseg,ige
kifecskendez,ige
kifehéredik,ige
kifehérít,ige
kifehérlik,ige
kifej,ige
kifejel,ige
kifejez,ige
kifejezés,főnév
kifejezésmód,főnév
kifejezéstelen,melléknév
kifejezett,melléknév
kifejező,melléknév
kifejeződik,ige
kifejlés,főnév
kifejleszt,ige
kifejlik,ige
kifejlődés,főnév
kifejlődik,ige
kifejt,ige
kifejtődik,ige
kifekszik,ige
kifelé,határozószó
kiféle,névmás
kifelejt,ige
kifen,ige
kifényesedik,ige
kifényesít,ige
kifér,ige
kifeslik,ige
kifest,ige
kifésül,ige
kifeszít,ige
kificamít,ige
kificamodik,ige
kifiguráz,ige
kifinomít,ige
kifinomodik,ige
kifirkál,ige
kifirtat,ige
kifíruncvancigol,ige
kifizet,ige
kifizetés,főnév
kifizetetlen,melléknév
kifizetődik,ige
kifizetődő,melléknév
kifli,főnév
kiflikrumpli,főnév
kifodorít,ige
kifodroz,ige
kifog,ige
kifogás,főnév
kifogásol,ige
kifogásolható,melléknév
kifogásolt,melléknév
kifogástalan,melléknév
kifogy,ige
kifogyhatatlan,melléknév
kifoltoz,ige
kifolyás,főnév
kifolyat,ige
kifolyik,ige
kifolyó,főnév|melléknév
kifolyócső,főnév
kifolyólag,névutó
kifon,ige
kifordít,ige
kifordíttat,ige
kifordul,ige
kiforgat,ige
kiformál,ige
kiformálódik,ige
kiforr,ige
kiforral,ige
kiforratlan,melléknév
kiforráz,ige
kiforrott,melléknév
kiforszíroz,ige
kifoszlik,ige
kifoszt,ige
kifő,ige
kifőz,ige
kifőzés,főnév
kifröccsen,ige
kifröcsög,ige
kifúj,ige
kifullad,ige
kifullaszt,ige
kifundál,ige
kifúr,ige
kifut,ige
kifutás,főnév
kifutó,főnév|melléknév
kifüggeszt,ige
kifűlik,ige
kifűrészel,ige
kifürkész,ige
kifürkészhetetlen,melléknév
kifüstöl,ige
kifűt,ige
kifütyül,ige
kifűz,ige
kifűződik,ige
kigabalyít,ige
kiganéz,ige
kigazdálkodik,ige
kigázol,ige
kigolyóz,ige
kigombol,ige
kigombolkozik,ige
kigombolódik,ige
kigondol,ige
kigömbölyödik,ige
kigöngyöl,ige
kigöngyölít,ige
kigöngyölődik,ige
kigörbít,ige
kigördül,ige
kigőzöl,ige
kigőzölgés,főnév
kigőzölög,ige
kiguberál,ige
kigumiz,ige
kigúnyol,ige
kigurít,ige
kigurul,ige
kigyalogol,ige
kigyárt,ige
kígyászsas,főnév
kigyelmed,névmás
kígyó,főnév
kígyóbőr,főnév
kígyóbűvölő,főnév|melléknév
kígyócső,főnév
kigyógyít,ige
kigyógyul,ige
kígyóhagyma,főnév
kígyókő,főnév
kígyómarás,főnév
kígyóméreg,főnév
kigyomlál,ige
kígyómozgás,főnév
kígyónyelv,főnév
kígyószisz,főnév
kígyóvonal,főnév
kígyózik,ige
kigyújt,ige
kigyúl,ige
kigyullad,ige
kigyúr,ige
kigyűlik,ige
kihág,ige
kihágás,főnév
kihagy,ige
kihagyás,főnév
kihagyásos,melléknév
kihajigál,ige
kihajít,ige
kihajlik,ige
kihajlít,ige
kihajló,melléknév
kihajnalodik,ige
kihajol,ige
kihajóz,ige
kihajózik,ige
kihajszol,ige
kihajt,ige
kihajtás,főnév
kihajtat,ige
kihajtó,melléknév|főnév
kihajtós,melléknév
kihal,ige
kihalász,ige
kihall,ige
kihallatszik,ige
kihallgat,ige
kihallgatás,főnév
kihallik,ige
kihallszik,ige
kihaló,főnév|melléknév
kihalt,melléknév
